indice_tiempo,nivel_general
1/1/1987,0.0045455
2/1/1987,0.004839
3/1/1987,0.0052386
4/1/1987,0.0054134
5/1/1987,0.0056382
6/1/1987,0.0060909
7/1/1987,0.0067059
8/1/1987,0.0076269
9/1/1987,0.0085166
10/1/1987,0.0101838
11/1/1987,0.0112296
12/1/1987,0.0116105
1/1/1988,0.012666
2/1/1988,0.013986
3/1/1988,0.01605
4/1/1988,0.018816
5/1/1988,0.021772
6/1/1988,0.025684
7/1/1988,0.032271
8/1/1988,0.041185
9/1/1988,0.046002
10/1/1988,0.050138
11/1/1988,0.053001
12/1/1988,0.056629
1/1/1989,0.06168
2/1/1989,0.067596
3/1/1989,0.079091
4/1/1989,0.105484
5/1/1989,0.188256
6/1/1989,0.403757
7/1/1989,1.19768
8/1/1989,1.651138
9/1/1989,1.805608
10/1/1989,1.906637
11/1/1989,2.030931
12/1/1989,2.844785
1/1/1990,5.098
2/1/1990,8.2368
3/1/1990,16.1052
4/1/1990,17.9367
5/1/1990,20.3775
6/1/1990,23.2095
7/1/1990,25.722
8/1/1990,29.6672
9/1/1990,34.3182
10/1/1990,36.9574
11/1/1990,39.2416
12/1/1990,41.0767
1/1/1991,44.239
2/1/1991,56.1793
3/1/1991,62.3828
4/1/1991,65.8204
5/1/1991,67.6664
6/1/1991,69.7801
7/1/1991,71.5881
8/1/1991,72.5194
9/1/1991,73.8004
10/1/1991,74.7973
11/1/1991,75.0882
12/1/1991,75.5757
1/1/1992,77.8752
2/1/1992,79.5527
3/1/1992,81.223
4/1/1992,82.2681
5/1/1992,82.8218
6/1/1992,83.4712
7/1/1992,84.9142
8/1/1992,86.1851
9/1/1992,87.0761
10/1/1992,88.1784
11/1/1992,88.5848
12/1/1992,88.8361
1/1/1993,89.5756
2/1/1993,90.2299
3/1/1993,90.9083
4/1/1993,91.8586
5/1/1993,93.0404
6/1/1993,93.7096
7/1/1993,94.0111
8/1/1993,94.0261
9/1/1993,94.801
10/1/1993,95.3369
11/1/1993,95.3914
12/1/1993,95.3789
1/1/1994,95.4749
2/1/1994,95.4715
3/1/1994,95.6046
4/1/1994,95.8373
5/1/1994,96.1695
6/1/1994,96.5417
7/1/1994,97.433
8/1/1994,97.634
9/1/1994,98.3022
10/1/1994,98.6172
11/1/1994,98.8402
12/1/1994,99.0551
1/1/1995,100.2893
2/1/1995,100.2866
3/1/1995,99.836
4/1/1995,100.2926
5/1/1995,100.3137
6/1/1995,100.1071
7/1/1995,100.5132
8/1/1995,100.2697
9/1/1995,100.4345
10/1/1995,100.776
