countryname,countrycode,continente,gdppc,pstability,corrup,alphrate,spend,lrights
Georgia,GEO,Asia,5023.2744,-.42342818,55,,27.531141,9
Ghana,GHA,Africa,2410.8772,.066447861,43,,,6
Gibraltar,GIB,Europe,,,,,,
Guinea,GIN,Africa,1189.176,-.97041082,25,45.330002,,6
"Gambia, The",GMB,Africa,772.15143,.17520067,37,58.060001,,6
Guinea-Bissau,GNB,Africa,795.11859,-.28023931,21,52.889999,,6
Equatorial Guinea,GNQ,Africa,7506.668,-.28674141,17,,10.312709,6
Greece,GRC,Europe,20192.596,.15448417,49,,55.563625,2
Grenada,GRD,America,9010.5127,1.04173,53,,,6
Greenland,GRL,America,57116.414,1.8840714,,,,
Guatemala,GTM,America,5029.4775,-.39217263,25,83.349998,13.266085,9
Guam,GUM,Oceania,35904.863,.86824566,,,,
Guyana,GUY,America,9998.5439,-.14380229,39,88.849998,,3
"Hong Kong SAR, China",HKG,Asia,49764.793,.26116851,76,,,8
Honduras,HND,America,2771.7227,-.61199874,23,,,8
Croatia,HRV,Europe,17747.789,.7078743,47,99.449997,310.44281,5
Haiti,HTI,America,1823.7422,-1.0953505,20,,,2
Hungary,HUN,Europe,18772.141,.86137176,43,99.099998,42.537521,9
Indonesia,IDN,Asia,4334.2158,-.50647295,38,,15.509218,6
Isle of Man,IMN,Europe,,,,,,
India,IND,Asia,2238.1272,-.61504495,40,,,9
Ireland,IRL,Europe,100172.08,.85682249,74,,23.385241,7
"Iran, Islamic Rep.",IRN,Asia,4084.2002,-1.6216319,25,88.739998,,2
Iraq,IRQ,Asia,4770.8354,-2.396992,23,,,0
Iceland,ISL,Europe,68594.008,1.3734754,74,,35.085346,4
Israel,ISR,Asia,52166.813,-1.0613511,59,,38.370049,6
Italy,ITA,Europe,35770.051,.57843351,56,,48.888294,2
Jamaica,JAM,America,5183.5811,.22347361,44,,,9
Jordan,JOR,Asia,4046.9314,-.27573004,49,98.419998,,11
Japan,JPN,Asia,39827.125,1.0273482,73,,21.741827,5
Kazakhstan,KAZ,Asia,10373.79,-.25426164,37,,17.11652,8
Kenya,KEN,Africa,2069.6611,-1.0896649,30,82.620003,20.706295,11
Kyrgyz Republic,KGZ,Asia,1306.178,-.42594147,27,,24.766582,9
Cambodia,KHM,Asia,1625.235,-.13211536,23,83.910004,18.447994,10
Kiribati,KIR,Oceania,1766.1439,1.1869593,,,105.42161,4
St. Kitts and Nevis,KNA,America,18082.688,.9555521,,,,5
"Korea, Rep.",KOR,Asia,34997.781,.66257119,62,,30.616917,5
Kuwait,KWT,Asia,32186.766,.29901624,43,,,1
Lao PDR,LAO,Asia,2535.6235,.72624576,30,87.07,,6
Lebanon,LBN,Asia,4136.1465,-1.4934806,24,,6.295711,2
Liberia,LBR,Africa,675.66321,-.24188198,29,,,10
Libya,LBY,Africa,5908.9512,-2.3669097,17,,,0
St. Lucia,LCA,America,9414.1377,.85399294,56,,,5
Liechtenstein,LIE,Europe,184083.33,1.6362746,,,,3
